case_id,fg_voxels,pseudo_mean_conf,accepted,source_npz
10179_HCT2_img,116745,0.9816928505897522,1,runs\cardiac_leads_ssl\cache\unlabeled\10179_HCT2_img.npz
10180_HCT2_img,93465,0.983750581741333,1,runs\cardiac_leads_ssl\cache\unlabeled\10180_HCT2_img.npz
10181_HCT2_img,92860,0.9846943616867065,1,runs\cardiac_leads_ssl\cache\unlabeled\10181_HCT2_img.npz
10182_HCT2_img,64190,0.9838709831237793,1,runs\cardiac_leads_ssl\cache\unlabeled\10182_HCT2_img.npz
10183_HCT2_img,194591,0.9850237965583801,1,runs\cardiac_leads_ssl\cache\unlabeled\10183_HCT2_img.npz
10184_HCT2_img,122889,0.9827501773834229,1,runs\cardiac_leads_ssl\cache\unlabeled\10184_HCT2_img.npz
10185_HCT2_img,118483,0.986609935760498,1,runs\cardiac_leads_ssl\cache\unlabeled\10185_HCT2_img.npz
10186_HCT2_img,151091,0.985132098197937,1,runs\cardiac_leads_ssl\cache\unlabeled\10186_HCT2_img.npz
10187_HCT2_img,210937,0.9845404028892517,1,runs\cardiac_leads_ssl\cache\unlabeled\10187_HCT2_img.npz
10188_HCT2_img,53396,0.9786028265953064,0,runs\cardiac_leads_ssl\cache\unlabeled\10188_HCT2_img.npz
10189_HCT2_img,108500,0.9865721464157104,1,runs\cardiac_leads_ssl\cache\unlabeled\10189_HCT2_img.npz
10190_HCT2_img,82333,0.9818414449691772,1,runs\cardiac_leads_ssl\cache\unlabeled\10190_HCT2_img.npz
10191_HCT2_img,146931,0.9858178496360779,1,runs\cardiac_leads_ssl\cache\unlabeled\10191_HCT2_img.npz
10192_HCT2_img,149772,0.9828386902809143,1,runs\cardiac_leads_ssl\cache\unlabeled\10192_HCT2_img.npz
10193_HCT2_img,133489,0.9858799576759338,1,runs\cardiac_leads_ssl\cache\unlabeled\10193_HCT2_img.npz
10194_HCT2_img,67797,0.9853065609931946,1,runs\cardiac_leads_ssl\cache\unlabeled\10194_HCT2_img.npz
10196_HCT2_img,134519,0.9848428964614868,1,runs\cardiac_leads_ssl\cache\unlabeled\10196_HCT2_img.npz
10197_HCT2_img,83747,0.9835107922554016,1,runs\cardiac_leads_ssl\cache\unlabeled\10197_HCT2_img.npz
