threshold,precision,recall,tp,fp,fn
0.58,0.8122039251071509,0.7711744287865139,122417,28305,36324
0.59,0.8139624882400432,0.7684908120775351,121991,27882,36750
0.6,0.8153129884679632,0.7656056091368959,121533,27530,37208
0.61,0.8171535777674299,0.7627834018936507,121085,27094,37656
0.62,0.8187870726046177,0.7600115912083205,120645,26701,38096
0.63,0.8205394261685178,0.7572082826742933,120200,26289,38541
0.64,0.8221155167202484,0.753913607700594,119677,25895,39064
0.65,0.8236656206367419,0.7506756288545492,119163,25511,39578
0.66,0.8254256384576866,0.7476518353796435,118683,25101,40058
0.67,0.8271755255129174,0.7446721388929136,118210,24698,40531
0.68,0.8289431054640729,0.7414278604771294,117695,24287,41046
0.6900000000000001,0.8307919156688855,0.7382717760376967,117194,23869,41547
0.7000000000000001,0.8325816718283928,0.7349897002034761,116673,23461,42068
0.71,0.834250333998937,0.7316698269508193,116146,23076,42595
0.72,0.8360622541078454,0.7282554601520717,115604,22668,43137
0.73,0.8380125183074782,0.7245009165873971,115008,22231,43733
0.74,0.839703734153521,0.7206203816279348,114392,21837,44349
0.75,0.841837376360314,0.7168406397843027,113792,21379,44949
0.76,0.8437115523707973,0.7128026155813558,113151,20960,45590
0.77,0.8453964674934236,0.7085756042862272,112480,20570,46261
0.78,0.8472875034114686,0.7040651123528263,111764,20144,46977
0.79,0.8495045717127664,0.6994160298851588,111026,19669,47715
0.8,0.8514547293176783,0.694842542254364,110300,19243,48441
0.81,0.8536741313704698,0.6896894942075457,109482,18766,49259
0.8200000000000001,0.8558521657621324,0.684467150893594,108653,18300,50088
0.8300000000000001,0.8580460731149917,0.678816436837364,107756,17827,50985
0.84,0.8602862412512786,0.6728822421428616,106814,17347,51927
0.85,0.8623460663901091,0.6665511745547779,105809,16890,52932
0.86,0.8648135145181942,0.659501956016404,104690,16365,54051
0.87,0.8675045033722928,0.6522637503858486,103541,15814,55200
0.88,0.8700120816104276,0.6441688032707366,102256,15278,56485
0.89,0.8726283276952493,0.635380903484292,100861,14722,57880
0.9,0.8757950561164262,0.6262717256411388,99415,14099,59326
0.91,0.8792022945719706,0.6159971273961988,97784,13435,60957
0.92,0.8827164467331832,0.6047019988534783,95991,12754,62750
0.93,0.8867136961592581,0.5914981006797235,93895,11996,64846
0.9400000000000001,0.89084088473156,0.575950762562917,91427,11203,67314
0.9500000000000001,0.895142527665945,0.5574615253778167,88492,10366,70249
0.96,0.9002326594354556,0.5338129405761587,84738,9391,74003
0.97,0.9054458815520763,0.5027434626215029,79806,8334,78935
0.98,0.9116922422741656,0.45922603486181895,72898,7061,85843
0.99,0.919890698959251,0.3880912933646632,61606,5365,97135
1.0,0.9121951219512195,0.0035340586237959945,561,54,158180
