threshold,precision,recall,tp,fp,fn
0.5700000000000001,0.802725748471741,0.7751053603038912,123041,30238,35700
0.58,0.804341266301068,0.7724343427343913,122617,29827,36124
0.59,0.8062547019150818,0.7696499329095823,122175,29359,36566
0.6,0.8078272926908557,0.7670545101769549,121763,28966,36978
0.61,0.8096385059848676,0.76443388916537,121347,28531,37394
0.62,0.8113494976880902,0.7616179814918641,120900,28111,37841
0.63,0.8132160434233712,0.7588209725275764,120456,27667,38285
0.64,0.8149486251366714,0.7559609678658947,120002,27249,38739
0.65,0.8165960644984969,0.7529056765422921,119517,26843,39224
0.66,0.8182749352086728,0.7498503852186895,119032,26435,39709
0.67,0.8200376319539562,0.7467698956161294,118543,26015,40198
0.68,0.8215145820282592,0.7435193176306059,118027,25643,40714
0.6900000000000001,0.823198269162098,0.7406404142597061,117570,25251,41171
0.7000000000000001,0.8249418563676088,0.7373709375649643,117051,24839,41690
0.71,0.82675114945791,0.7340195664636106,116519,24417,42222
0.72,0.8285636744109643,0.7308319841754808,116013,24004,42728
0.73,0.8305198121282303,0.727398718667515,115468,23563,43273
0.74,0.8323276517758187,0.723833162195022,114902,23147,43839
0.75,0.8342288150440927,0.719889631538166,114276,22708,44465
0.76,0.8361484249709418,0.716015396148443,113661,22273,45080
0.77,0.838390281166794,0.7121096629100232,113041,21790,45700
0.78,0.8403688110852707,0.7079456473122886,112380,21347,46361
0.79,0.8424129062426935,0.7036178429013299,111693,20894,47048
0.8,0.8444202495793393,0.6986663810861719,110907,20434,47834
0.81,0.8463933216492944,0.6936393244341411,110109,19983,48632
0.8200000000000001,0.8488930992444655,0.6886878626189831,109323,19460,49418
0.8300000000000001,0.8510379468665384,0.6830938446904077,108435,18980,50306
0.84,0.8533255051927547,0.6775439237500078,107554,18487,51187
0.85,0.8556793731333697,0.6714081428238451,106580,17976,52161
0.86,0.8582253369973496,0.6649825816896706,105560,17438,53181
0.87,0.8605697522064095,0.6578703674539029,104431,16920,54310
0.88,0.8631741784430136,0.6502856854876812,103227,16363,55514
0.89,0.8658504442460571,0.6415292835499335,101837,15778,56904
0.9,0.8691974720803394,0.6324831014041741,100401,15109,58340
0.91,0.8723030319087867,0.6222085031592343,98770,14459,59971
0.92,0.8754899658604433,0.6106550922571988,96936,13786,61805
0.93,0.8793672270309343,0.597759873000674,94889,13017,63852
0.9400000000000001,0.8831136556971221,0.582042446500904,92394,12229,66347
0.9500000000000001,0.8876252853031656,0.5634713149091917,89446,11324,69295
0.96,0.8928500713846539,0.5397282365614429,85677,10282,73064
0.97,0.89821628761391,0.509780082020398,80923,9170,77818
0.98,0.9057762261663533,0.4674469733717187,74203,7719,84538
0.99,0.9139431023982832,0.3970681802432894,63031,5935,95710
1.0,0.8893280632411067,0.00425220957408609,675,84,158066
