threshold,precision,recall,tp,fp,fn
0.67,0.8373694884699167,0.7022697349771011,111479,21651,47262
0.68,0.838917856872969,0.6993404350482862,111014,21316,47727
0.6900000000000001,0.8403321723524312,0.6961150553417201,110502,20996,48239
0.7000000000000001,0.8417702635504724,0.6931542575642083,110032,20683,48709
0.71,0.8431330290411718,0.6900485696826907,109539,20380,49202
0.72,0.8445898845945318,0.6869365822314336,109045,20065,49696
0.73,0.8459511092050372,0.6834340214563346,108489,19756,50252
0.74,0.847427683030246,0.6798810641233204,107925,19431,50816
0.75,0.8491959914260178,0.676340705929785,107363,19066,51378
0.76,0.850930043513604,0.6726239597835468,106773,18705,51968
0.77,0.8528440985857807,0.6689954076136599,106197,18324,52544
0.78,0.8546740810891754,0.6651652692121128,105589,17954,53152
0.79,0.8562561174551386,0.6613099325316081,104977,17623,53764
0.8,0.8580515622557047,0.6568750354350797,104273,17250,54468
0.81,0.8596698015322936,0.6524275391990727,103567,16906,55174
0.8200000000000001,0.8614577923709648,0.6478855494169748,102846,16540,55895
0.8300000000000001,0.8633561383182945,0.6431293742637378,102091,16158,56650
0.84,0.8653555348614683,0.6380771193327496,101289,15760,57452
0.85,0.8676230393639546,0.6324579031252165,100397,15318,58344
0.86,0.8699324176640817,0.6268197882084654,99502,14877,59239
0.87,0.8718622532494537,0.6207407034099571,98537,14482,60204
0.88,0.873945885814763,0.6136851853018439,97417,14051,61324
0.89,0.8761396102123633,0.6066044689147732,96293,13613,62448
0.9,0.8784422115197958,0.5986418127641882,95029,13150,63712
0.91,0.8810204965086296,0.5897594194316528,93619,12643,65122
0.92,0.8837711510591126,0.580070681172476,92081,12110,66660
0.93,0.8869721455852176,0.5690968306864641,90339,11512,68402
0.9400000000000001,0.8900718149129256,0.5566866782998722,88369,10914,70372
0.9500000000000001,0.8934271227297286,0.5416811031806528,85987,10257,72754
0.96,0.8970062991103318,0.5220957408608992,82878,9516,75863
0.97,0.9015700827861832,0.49738252877328476,78955,8620,79786
0.98,0.9064796176692147,0.46241361714994866,73404,7573,85337
0.99,0.9134734062401332,0.4009613143422304,63649,6029,95092
1.0,0.9540983606557377,0.0018331747941615587,291,14,158450
